# E_Mean  E_Lower  E_Upper  FastNeutron  AtmosphericCC  AtmosphericNC  Accidental  Spallation  Reactor
18.55  18.50  18.60    0.1449    0.0499    0.3340    0.0000    0.0000    0.0000
18.65  18.60  18.70    0.1449    0.0501    0.3310    0.0000    0.0000    0.0000
18.75  18.70  18.80    0.1449    0.0502    0.3283    0.0000    0.0000    0.0000
18.85  18.80  18.90    0.1449    0.0504    0.3261    0.0000    0.0000    0.0000
18.95  18.90  19.00    0.1449    0.0506    0.3243    0.0000    0.0000    0.0000
19.05  19.00  19.10    0.1449    0.0507    0.3226    0.0000    0.0000    0.0000
19.15  19.10  19.20    0.1449    0.0509    0.3209    0.0000    0.0000    0.0000
19.25  19.20  19.30    0.1449    0.0511    0.3193    0.0000    0.0000    0.0000
19.35  19.30  19.40    0.1449    0.0512    0.3177    0.0000    0.0000    0.0000
19.45  19.40  19.50    0.1449    0.0514    0.3162    0.0000    0.0000    0.0000
19.55  19.50  19.60    0.1449    0.0516    0.3146    0.0000    0.0000    0.0000
19.65  19.60  19.70    0.1449    0.0518    0.3130    0.0000    0.0000    0.0000
19.75  19.70  19.80    0.1449    0.0519    0.3114    0.0000    0.0000    0.0000
19.85  19.80  19.90    0.1449    0.0521    0.3098    0.0000    0.0000    0.0000
19.95  19.90  20.00    0.1449    0.0523    0.3082    0.0000    0.0000    0.0000
20.05  20.00  20.10    0.1449    0.0524    0.3066    0.0000    0.0000    0.0000
20.15  20.10  20.20    0.1449    0.0526    0.3050    0.0000    0.0000    0.0000
20.25  20.20  20.30    0.1449    0.0528    0.3035    0.0000    0.0000    0.0000
20.35  20.30  20.40    0.1449    0.0529    0.3019    0.0000    0.0000    0.0000
20.45  20.40  20.50    0.1449    0.0531    0.3003    0.0000    0.0000    0.0000
20.55  20.50  20.60    0.1449    0.0533    0.2987    0.0000    0.0000    0.0000
20.65  20.60  20.70    0.1449    0.0535    0.2971    0.0000    0.0000    0.0000
20.75  20.70  20.80    0.1449    0.0536    0.2955    0.0000    0.0000    0.0000
20.85  20.80  20.90    0.1449    0.0538    0.2939    0.0000    0.0000    0.0000
20.95  20.90  21.00    0.1449    0.0540    0.2924    0.0000    0.0000    0.0000
21.05  21.00  21.10    0.1449    0.0541    0.2908    0.0000    0.0000    0.0000
21.15  21.10  21.20    0.1449    0.0543    0.2893    0.0000    0.0000    0.0000
21.25  21.20  21.30    0.1449    0.0545    0.2880    0.0000    0.0000    0.0000
21.35  21.30  21.40    0.1449    0.0547    0.2868    0.0000    0.0000    0.0000
21.45  21.40  21.50    0.1449    0.0548    0.2858    0.0000    0.0000    0.0000
21.55  21.50  21.60    0.1449    0.0550    0.2848    0.0000    0.0000    0.0000
21.65  21.60  21.70    0.1449    0.0552    0.2838    0.0000    0.0000    0.0000
21.75  21.70  21.80    0.1449    0.0553    0.2828    0.0000    0.0000    0.0000
21.85  21.80  21.90    0.1449    0.0555    0.2819    0.0000    0.0000    0.0000
21.95  21.90  22.00    0.1449    0.0557    0.2809    0.0000    0.0000    0.0000
22.05  22.00  22.10    0.1449    0.0558    0.2800    0.0000    0.0000    0.0000
22.15  22.10  22.20    0.1449    0.0560    0.2790    0.0000    0.0000    0.0000
22.25  22.20  22.30    0.1449    0.0562    0.2781    0.0000    0.0000    0.0000
22.35  22.30  22.40    0.1449    0.0564    0.2771    0.0000    0.0000    0.0000
22.45  22.40  22.50    0.1449    0.0565    0.2762    0.0000    0.0000    0.0000
22.55  22.50  22.60    0.1449    0.0567    0.2752    0.0000    0.0000    0.0000
22.65  22.60  22.70    0.1449    0.0569    0.2743    0.0000    0.0000    0.0000
22.75  22.70  22.80    0.1449    0.0570    0.2733    0.0000    0.0000    0.0000
22.85  22.80  22.90    0.1449    0.0572    0.2724    0.0000    0.0000    0.0000
22.95  22.90  23.00    0.1449    0.0574    0.2714    0.0000    0.0000    0.0000
23.05  23.00  23.10    0.1449    0.0575    0.2705    0.0000    0.0000    0.0000
23.15  23.10  23.20    0.1449    0.0577    0.2695    0.0000    0.0000    0.0000
23.25  23.20  23.30    0.1449    0.0579    0.2686    0.0000    0.0000    0.0000
23.35  23.30  23.40    0.1449    0.0581    0.2676    0.0000    0.0000    0.0000
23.45  23.40  23.50    0.1449    0.0582    0.2667    0.0000    0.0000    0.0000
23.55  23.50  23.60    0.1449    0.0584    0.2657    0.0000    0.0000    0.0000
23.65  23.60  23.70    0.1449    0.0586    0.2647    0.0000    0.0000    0.0000
23.75  23.70  23.80    0.1449    0.0587    0.2637    0.0000    0.0000    0.0000
23.85  23.80  23.90    0.1449    0.0589    0.2627    0.0000    0.0000    0.0000
23.95  23.90  24.00    0.1449    0.0591    0.2616    0.0000    0.0000    0.0000
24.05  24.00  24.10    0.1449    0.0593    0.2606    0.0000    0.0000    0.0000
24.15  24.10  24.20    0.1449    0.0594    0.2595    0.0000    0.0000    0.0000
24.25  24.20  24.30    0.1449    0.0596    0.2584    0.0000    0.0000    0.0000
24.35  24.30  24.40    0.1449    0.0598    0.2573    0.0000    0.0000    0.0000
24.45  24.40  24.50    0.1449    0.0599    0.2562    0.0000    0.0000    0.0000
24.55  24.50  24.60    0.1449    0.0601    0.2551    0.0000    0.0000    0.0000
24.65  24.60  24.70    0.1449    0.0603    0.2540    0.0000    0.0000    0.0000
24.75  24.70  24.80    0.1449    0.0604    0.2529    0.0000    0.0000    0.0000
24.85  24.80  24.90    0.1449    0.0606    0.2519    0.0000    0.0000    0.0000
24.95  24.90  25.00    0.1449    0.0608    0.2508    0.0000    0.0000    0.0000
25.05  25.00  25.10    0.1449    0.0610    0.2497    0.0000    0.0000    0.0000
25.15  25.10  25.20    0.1449    0.0611    0.2486    0.0000    0.0000    0.0000
25.25  25.20  25.30    0.1449    0.0613    0.2475    0.0000    0.0000    0.0000
25.35  25.30  25.40    0.1449    0.0615    0.2464    0.0000    0.0000    0.0000
25.45  25.40  25.50    0.1449    0.0616    0.2453    0.0000    0.0000    0.0000
25.55  25.50  25.60    0.1449    0.0618    0.2442    0.0000    0.0000    0.0000
25.65  25.60  25.70    0.1449    0.0620    0.2431    0.0000    0.0000    0.0000
25.75  25.70  25.80    0.1449    0.0621    0.2421    0.0000    0.0000    0.0000
25.85  25.80  25.90    0.1449    0.0623    0.2410    0.0000    0.0000    0.0000
25.95  25.90  26.00    0.1449    0.0625    0.2399    0.0000    0.0000    0.0000
26.05  26.00  26.10    0.1449    0.0627    0.2388    0.0000    0.0000    0.0000
26.15  26.10  26.20    0.1449    0.0628    0.2378    0.0000    0.0000    0.0000
26.25  26.20  26.30    0.1449    0.0630    0.2368    0.0000    0.0000    0.0000
26.35  26.30  26.40    0.1449    0.0632    0.2359    0.0000    0.0000    0.0000
26.45  26.40  26.50    0.1449    0.0633    0.2351    0.0000    0.0000    0.0000
26.55  26.50  26.60    0.1449    0.0635    0.2343    0.0000    0.0000    0.0000
26.65  26.60  26.70    0.1449    0.0637    0.2335    0.0000    0.0000    0.0000
26.75  26.70  26.80    0.1449    0.0639    0.2327    0.0000    0.0000    0.0000
26.85  26.80  26.90    0.1449    0.0640    0.2319    0.0000    0.0000    0.0000
26.95  26.90  27.00    0.1449    0.0642    0.2311    0.0000    0.0000    0.0000
27.05  27.00  27.10    0.1449    0.0644    0.2303    0.0000    0.0000    0.0000
27.15  27.10  27.20    0.1449    0.0645    0.2295    0.0000    0.0000    0.0000
27.25  27.20  27.30    0.1449    0.0647    0.2287    0.0000    0.0000    0.0000
27.35  27.30  27.40    0.1449    0.0649    0.2279    0.0000    0.0000    0.0000
27.45  27.40  27.50    0.1449    0.0650    0.2272    0.0000    0.0000    0.0000
27.55  27.50  27.60    0.1449    0.0652    0.2264    0.0000    0.0000    0.0000
27.65  27.60  27.70    0.1449    0.0654    0.2256    0.0000    0.0000    0.0000
27.75  27.70  27.80    0.1449    0.0656    0.2248    0.0000    0.0000    0.0000
27.85  27.80  27.90    0.1449    0.0657    0.2240    0.0000    0.0000    0.0000
27.95  27.90  28.00    0.1449    0.0659    0.2232    0.0000    0.0000    0.0000
28.05  28.00  28.10    0.1449    0.0661    0.2224    0.0000    0.0000    0.0000
28.15  28.10  28.20    0.1449    0.0662    0.2216    0.0000    0.0000    0.0000
28.25  28.20  28.30    0.1449    0.0664    0.2209    0.0000    0.0000    0.0000
28.35  28.30  28.40    0.1449    0.0666    0.2201    0.0000    0.0000    0.0000
